CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12547,198,3,299.58,1,Low Performance
12548,166,1,67.19999999999999,1,Low Performance
12549,576,5,1570.68,1,Low Performance
12550,79,1,824.83,0,Average Performance
12551,358,1,168.0,1,Low Performance
12552,40,1,317.82,0,Average Performance
12553,8,12,4104.75,2,High Performance
12554,449,1,384.5,1,Low Performance
12556,50,2,599.56,0,Average Performance
12557,16,8,18096.14,2,High Performance
12558,8,1,269.96,0,Average Performance
12559,311,2,525.71,1,Low Performance
12560,5,2,1918.01,2,High Performance
12561,303,1,238.85,1,Low Performance
12562,8,9,4426.92,2,High Performance
12563,409,1,221.24,1,Low Performance
12564,261,1,402.9,1,Low Performance
12565,289,1,145.92,1,Low Performance
12566,86,1,297.65,0,Average Performance
12567,23,15,10741.48,2,High Performance
12568,645,1,52.0,1,Low Performance
12569,2,32,3152.69,2,High Performance
12571,40,2,519.61,0,Average Performance
12572,9,2,912.42,0,Average Performance
12573,227,5,717.41,1,Low Performance
12574,316,1,182.45000000000002,1,Low Performance
12575,457,2,568.8199999999999,1,Low Performance
12576,36,8,2062.72,0,Average Performance
12577,35,8,1613.15,0,Average Performance
12578,21,4,4026.4500000000003,0,Average Performance
12579,78,1,386.42,0,Average Performance
12580,247,2,962.9,1,Low Performance
12581,40,1,179.71,0,Average Performance
12582,239,4,1820.4,1,Low Performance
12583,3,27,12493.58,2,High Performance
12584,4,9,2254.15,2,High Performance
12585,234,2,1824.1,1,Low Performance
12586,17,4,2062.67,0,Average Performance
12587,8,1,104.0,0,Average Performance
12588,39,3,718.78,0,Average Performance
12589,29,6,3294.91,0,Average Performance
12590,211,1,9341.26,1,Low Performance
12591,317,3,1114.95,1,Low Performance
12592,92,4,1723.6399999999999,0,Average Performance
12593,109,3,382.09999999999997,0,Average Performance
12594,38,14,4890.110000000001,2,High Performance
12595,505,1,281.02,1,Low Performance
12596,51,2,450.27,0,Average Performance
12597,19,4,3195.22,0,Average Performance
12598,10,10,4192.09,2,High Performance
12599,29,13,2026.72,2,High Performance
12600,29,20,4385.85,2,High Performance
12601,190,6,573.26,1,Low Performance
12602,59,1,153.12,0,Average Performance
12603,22,1,613.1999999999999,0,Average Performance
12604,79,2,236.18,0,Average Performance
12605,376,3,1124.95,1,Low Performance
12607,60,1,1579.51,0,Average Performance
12608,405,1,415.79,1,Low Performance
12609,78,9,3021.86,0,Average Performance
12610,23,4,1747.54,0,Average Performance
12611,52,1,1193.32,0,Average Performance
12612,74,1,668.0400000000001,0,Average Performance
12613,57,9,6277.37,0,Average Performance
12614,278,1,315.6,1,Low Performance
12615,2,8,5362.98,2,High Performance
12616,95,3,1023.1,0,Average Performance
12617,29,1,352.98,0,Average Performance
12618,22,1,137.31,0,Average Performance
12619,16,9,3085.7,2,High Performance
12620,15,3,1303.41,0,Average Performance
12621,2,35,22097.2,2,High Performance
12622,232,1,162.1,1,Low Performance
12623,276,7,3315.84,1,Low Performance
12624,106,2,569.13,0,Average Performance
12625,212,4,4678.88,1,Low Performance
12626,23,9,5954.48,2,High Performance
12627,11,6,4082.53,2,High Performance
12628,4,3,732.46,2,High Performance
12629,386,2,1198.22,1,Low Performance
12630,10,2,1030.88,0,Average Performance
12631,57,6,3321.57,0,Average Performance
12632,521,2,714.88,1,Low Performance
12633,59,7,5156.16,0,Average Performance
12634,548,1,360.0,1,Low Performance
12635,90,4,2624.41,0,Average Performance
12637,67,12,8085.8099999999995,0,Average Performance
12638,33,2,681.49,0,Average Performance
12639,239,3,1072.37,1,Low Performance
12640,24,3,994.58,0,Average Performance
12641,115,1,145.9,1,Low Performance
12642,25,3,905.26,0,Average Performance
12643,128,11,7803.82,0,Average Performance
12644,130,4,1900.49,0,Average Performance
12645,34,8,3215.3,0,Average Performance
12646,5,2,1346.97,2,High Performance
12647,22,35,14109.55,2,High Performance
12648,155,4,1039.0,1,Low Performance
12649,107,8,2096.65,0,Average Performance
12650,3,1,242.44000000000003,2,High Performance
12651,335,4,377.75,1,Low Performance
12652,331,2,891.03,1,Low Performance
12653,149,3,4160.83,0,Average Performance
12654,11,5,529.98,2,High Performance
12655,424,1,243.35000000000002,1,Low Performance
12656,17,8,5723.83,2,High Performance
12657,11,4,1427.18,2,High Performance
12658,19,1,632.05,0,Average Performance
12659,30,1,73.68,0,Average Performance
12660,11,1,227.1,0,Average Performance
12661,436,1,162.0,1,Low Performance
12662,1,20,6130.54,2,High Performance
12663,625,2,185.4,1,Low Performance
12664,8,11,5420.04,2,High Performance
12665,325,3,259.6,1,Low Performance
12666,394,1,1248.42,1,Low Performance
12667,58,1,460.13,0,Average Performance
12668,12,9,9906.03,2,High Performance
12669,151,2,1427.73,1,Low Performance
12670,10,7,3436.29,2,High Performance
12671,606,1,2622.48,1,Low Performance
12672,330,2,407.05,1,Low Performance
12673,5,3,1140.02,2,High Performance
12674,39,4,1844.6,0,Average Performance
12675,554,2,873.25,1,Low Performance
12676,25,10,2333.09,2,High Performance
12677,555,2,359.1,1,Low Performance
12678,42,15,32595.18,2,High Performance
12679,59,4,951.02,0,Average Performance
12680,1,4,790.81,2,High Performance
12681,15,44,26936.76,2,High Performance
12682,4,51,20736.22,2,High Performance
12683,4,20,10445.7,2,High Performance
12684,8,6,2073.63,2,High Performance
12685,28,6,2575.08,0,Average Performance
12686,372,1,71.14,1,Low Performance
12687,481,1,1858.91,1,Low Performance
12688,114,1,4873.8099999999995,0,Average Performance
12689,26,2,1139.61,0,Average Performance
12690,206,1,335.01,1,Low Performance
12691,28,6,1044.4,0,Average Performance
12692,637,1,110.95,1,Low Performance
12693,127,7,1415.02,0,Average Performance
12694,70,3,1663.35,0,Average Performance
12695,7,7,1371.1200000000001,2,High Performance
12696,435,2,731.91,1,Low Performance
12697,29,3,757.59,0,Average Performance
12698,590,1,285.75,1,Low Performance
12699,418,1,566.11,1,Low Performance
12700,8,4,4525.99,2,High Performance
12701,80,6,2248.41,0,Average Performance
12702,20,1,201.0,0,Average Performance
12703,71,4,898.53,0,Average Performance
12704,7,8,1740.84,2,High Performance
12705,15,13,11114.1,2,High Performance
12707,292,1,603.42,1,Low Performance
12708,30,18,4559.66,2,High Performance
12709,15,32,29487.18,2,High Performance
12710,97,3,1023.02,0,Average Performance
12711,612,2,1213.05,1,Low Performance
12712,29,21,5985.03,2,High Performance
12713,1,1,794.55,2,High Performance
12714,9,12,12815.710000000001,2,High Performance
12715,106,1,263.36,1,Low Performance
12716,4,2,963.49,2,High Performance
12717,151,3,1058.91,1,Low Performance
12718,71,1,202.25,0,Average Performance
12719,5,2,572.95,2,High Performance
12720,3,29,6905.28,2,High Performance
12721,32,8,3635.08,0,Average Performance
12722,85,4,979.63,0,Average Performance
12723,4,5,707.07,2,High Performance
12724,5,7,2083.52,2,High Performance
12725,371,3,1906.76,1,Low Performance
12726,28,11,3690.6,2,High Performance
12727,11,10,4905.53,2,High Performance
12728,71,5,926.17,0,Average Performance
12729,114,1,417.01,1,Low Performance
12730,522,1,703.25,1,Low Performance
12731,24,17,25631.71,2,High Performance
12732,180,1,218.26000000000002,1,Low Performance
12733,234,4,2424.02,1,Low Performance
12734,353,3,603.65,1,Low Performance
12735,315,2,689.5699999999999,1,Low Performance
12736,333,1,144.0,1,Low Performance
12738,372,1,137.35,1,Low Performance
12739,99,2,2421.23,0,Average Performance
12740,64,1,427.6,0,Average Performance
12741,533,1,236.07,1,Low Performance
12742,626,1,1201.52,1,Low Performance
12743,134,2,540.13,1,Low Performance
12744,56,8,13158.16,0,Average Performance
12745,487,2,723.85,1,Low Performance
12746,541,1,254.55,1,Low Performance
12747,2,26,8898.48,2,High Performance
12748,1,322,49176.74,2,High Performance
12749,4,9,6847.36,2,High Performance
12750,129,1,275.88,1,Low Performance
12751,445,1,268.27,1,Low Performance
12752,81,1,4366.78,0,Average Performance
12753,23,6,21429.39,2,High Performance
12754,236,3,3010.74,1,Low Performance
12755,281,11,5236.259999999999,1,Low Performance
12756,87,1,112.07999999999998,0,Average Performance
12757,16,9,4176.75,2,High Performance
12758,117,7,9903.24,0,Average Performance
12759,52,8,4618.74,0,Average Performance
12760,456,1,317.8,1,Low Performance
12761,465,1,712.95,1,Low Performance
12762,8,2,1702.52,2,High Performance
12763,138,2,494.08,1,Low Performance
12764,317,1,1693.88,1,Low Performance
12765,472,6,1299.58,1,Low Performance
12766,4,9,8134.99,2,High Performance
12767,376,1,949.82,1,Low Performance
12768,451,1,168.69000000000003,1,Low Performance
12769,239,1,1143.6,1,Low Performance
12770,211,2,3246.45,1,Low Performance
12771,486,1,226.3,1,Low Performance
12772,60,1,752.47,0,Average Performance
12773,564,1,124.25,1,Low Performance
12774,536,1,83.7,1,Low Performance
12775,17,7,1551.12,2,High Performance
12776,668,1,27.5,1,Low Performance
12777,458,1,519.45,1,Low Performance
12778,20,9,1541.68,2,High Performance
12779,38,14,6474.11,2,High Performance
12780,599,1,322.4,1,Low Performance
12781,64,2,786.74,0,Average Performance
12782,5,11,3862.2400000000002,2,High Performance
12783,2,4,1295.87,2,High Performance
12784,15,2,1511.15,0,Average Performance
12785,364,3,904.4,1,Low Performance
12786,610,1,668.5,1,Low Performance
12787,10,4,799.18,2,High Performance
12788,463,4,384.9,1,Low Performance
12789,65,3,225.35,0,Average Performance
12790,192,2,546.85,1,Low Performance
12791,374,5,656.83,1,Low Performance
12792,257,2,715.01,1,Low Performance
12793,335,3,745.53,1,Low Performance
12794,53,2,860.41,0,Average Performance
12795,19,1,318.48,0,Average Performance
12796,628,1,351.0,1,Low Performance
12797,366,2,468.08000000000004,1,Low Performance
12798,10,4,8510.93,2,High Performance
12799,529,1,219.35,1,Low Performance
12800,470,2,500.25,1,Low Performance
12801,501,1,871.82,1,Low Performance
12802,187,5,2186.42,1,Low Performance
12803,393,1,1017.81,1,Low Performance
12804,466,2,325.37,1,Low Performance
12805,382,4,1230.95,1,Low Performance
12806,572,2,2558.96,1,Low Performance
12807,383,1,250.35,1,Low Performance
12808,37,5,748.7,0,Average Performance
12809,178,3,1384.3400000000001,1,Low Performance
12810,535,2,534.99,1,Low Performance
12811,262,4,893.9,1,Low Performance
12812,45,1,229.64000000000001,0,Average Performance
12813,502,3,1621.8,1,Low Performance
12814,102,1,85.92,1,Low Performance
12815,148,2,863.46,1,Low Performance
12816,96,2,452.20000000000005,0,Average Performance
12817,281,3,570.98,1,Low Performance
12818,262,1,1182.0800000000002,1,Low Performance
12819,458,1,540.52,1,Low Performance
12820,3,11,2689.52,2,High Performance
12821,214,2,220.8,1,Low Performance
12822,71,2,948.88,0,Average Performance
12823,75,18,6501.5,0,Average Performance
12824,60,1,397.12,0,Average Performance
12825,521,2,518.63,1,Low Performance
12826,3,12,2800.75,2,High Performance
12827,6,3,430.15000000000003,2,High Performance
12828,3,6,1018.71,2,High Performance
12829,337,3,385.3,1,Low Performance
12830,38,6,6814.64,0,Average Performance
12831,262,3,451.11,1,Low Performance
12832,32,2,383.03,0,Average Performance
12833,145,1,417.38,1,Low Performance
12834,283,1,312.38,1,Low Performance
12835,428,41,5996.83,1,Low Performance
12836,59,15,6559.7300000000005,0,Average Performance
12837,173,2,662.66,1,Low Performance
12838,34,10,2975.91,0,Average Performance
12839,3,26,9669.12,2,High Performance
12840,144,7,4041.97,0,Average Performance
12841,5,40,6958.2,2,High Performance
12842,70,4,1917.99,0,Average Performance
12843,66,28,6461.87,2,High Performance
12844,29,4,648.6,0,Average Performance
12845,267,4,354.09,1,Low Performance
12847,22,2,1609.0,0,Average Performance
12848,676,1,208.0,1,Low Performance
12849,31,6,3015.98,0,Average Performance
12850,446,1,330.0,1,Low Performance
12851,97,2,280.76,0,Average Performance
12852,295,1,311.55,1,Low Performance
12853,135,11,3907.5,0,Average Performance
12854,79,7,2970.9700000000003,0,Average Performance
12855,373,4,612.84,1,Low Performance
12856,8,6,2170.78,2,High Performance
12857,211,6,3688.0,1,Low Performance
12858,383,1,147.27,1,Low Performance
12859,459,1,575.1,1,Low Performance
12860,693,1,54.22,1,Low Performance
12861,620,1,68.25,1,Low Performance
12862,426,2,984.62,1,Low Performance
12863,52,6,2792.5499999999997,0,Average Performance
12864,138,2,299.57,1,Low Performance
12865,26,4,3323.47,0,Average Performance
12866,283,3,1092.35,1,Low Performance
12867,26,13,7829.26,2,High Performance
12868,186,8,2043.76,0,Average Performance
12869,682,1,337.66999999999996,1,Low Performance
12870,375,3,1676.95,1,Low Performance
12871,84,3,744.02,0,Average Performance
12872,327,12,3283.96,1,Low Performance
12873,282,3,2027.3,1,Low Performance
12874,385,2,873.42,1,Low Performance
12875,143,5,1356.99,0,Average Performance
12876,58,4,3751.79,0,Average Performance
12877,4,20,2942.14,2,High Performance
12878,236,2,854.99,1,Low Performance
12879,45,3,573.22,0,Average Performance
12880,382,2,640.13,1,Low Performance
12881,276,1,298.0,1,Low Performance
12882,9,2,1463.04,0,Average Performance
12883,25,4,703.47,0,Average Performance
12884,88,1,309.05,0,Average Performance
12885,63,3,1175.22,0,Average Performance
12886,68,2,1378.4,0,Average Performance
12887,384,1,222.4,1,Low Performance
12888,214,2,354.12,1,Low Performance
12889,381,4,385.46000000000004,1,Low Performance
12890,24,2,706.02,0,Average Performance
12891,186,11,840.5,0,Average Performance
12892,397,1,263.38,1,Low Performance
12893,31,1,176.55,0,Average Performance
12894,575,1,157.35,1,Low Performance
12895,42,2,372.8,0,Average Performance
12897,205,4,514.25,1,Low Performance
12898,464,2,296.21000000000004,1,Low Performance
12899,414,1,366.4,1,Low Performance
12900,422,1,340.33,1,Low Performance
12901,9,28,17654.54,2,High Performance
12902,265,1,138.68,1,Low Performance
12903,429,1,833.53,1,Low Performance
12904,18,2,496.06,0,Average Performance
12905,577,2,1018.42,1,Low Performance
12906,12,5,2919.81,2,High Performance
12907,396,2,508.91,1,Low Performance
12908,176,5,1776.0,1,Low Performance
12909,40,8,3103.19,0,Average Performance
12910,23,13,5796.52,2,High Performance
12911,552,1,1651.72,1,Low Performance
12912,3,5,1662.3,2,High Performance
12913,5,13,6283.24,2,High Performance
12914,401,1,223.98,1,Low Performance
12915,149,4,975.1,0,Average Performance
12916,139,7,4479.73,0,Average Performance
12917,128,6,4359.2,0,Average Performance
12919,8,6,1335.19,2,High Performance
12920,17,4,486.64,0,Average Performance
12921,9,74,35233.24,2,High Performance
12922,161,1,405.38,1,Low Performance
12923,64,3,769.17,0,Average Performance
12924,88,12,2461.45,0,Average Performance
12925,5,3,729.3299999999999,2,High Performance
12926,411,4,1523.59,1,Low Performance
12927,395,1,197.31,1,Low Performance
12928,35,12,4304.89,2,High Performance
12929,312,1,117.85,1,Low Performance
12930,78,2,415.8,0,Average Performance
12931,22,57,92347.34,2,High Performance
12932,539,8,1698.56,1,Low Performance
12933,24,8,1636.6299999999999,0,Average Performance
12934,737,1,181.65,1,Low Performance
12935,2,15,4243.86,2,High Performance
12936,17,4,1063.9,0,Average Performance
12937,15,9,3097.61,2,High Performance
12938,26,1,114.14,0,Average Performance
12939,64,20,25264.8,2,High Performance
12940,55,2,899.69,0,Average Performance
12941,724,1,377.49,1,Low Performance
12942,131,3,675.6,0,Average Performance
12943,558,2,496.5,1,Low Performance
12944,36,2,604.51,0,Average Performance
12945,288,2,900.11,1,Low Performance
12946,437,1,324.45,1,Low Performance
12947,144,6,1603.99,0,Average Performance
12948,16,9,2317.43,2,High Performance
12949,31,22,15526.7,2,High Performance
12950,2,3,1843.0,2,High Performance
12951,9,15,3213.7200000000003,2,High Performance
12952,6,4,1387.79,2,High Performance
12953,10,2,828.8100000000001,0,Average Performance
12954,639,1,162.45,1,Low Performance
12955,1,11,4757.16,2,High Performance
12956,306,4,521.89,1,Low Performance
12957,10,13,8706.97,2,High Performance
12958,400,2,467.34,1,Low Performance
12959,484,1,150.95,1,Low Performance
12960,414,4,1322.07,1,Low Performance
12961,379,1,211.99,1,Low Performance
12962,7,2,266.39,0,Average Performance
12963,8,12,3235.79,2,High Performance
12964,437,1,132.24,1,Low Performance
12965,89,1,769.8100000000001,0,Average Performance
12966,10,1,160.18,0,Average Performance
12967,358,3,2938.52,1,Low Performance
12968,112,1,135.95,1,Low Performance
12969,603,1,122.45,1,Low Performance
12970,7,10,1452.54,2,High Performance
12971,4,116,15704.6,2,High Performance
12972,414,4,1161.2,1,Low Performance
12973,414,1,385.55,1,Low Performance
12974,198,2,408.95,1,Low Performance
12975,437,6,2100.09,1,Low Performance
12976,212,8,3156.38,1,Low Performance
12977,156,4,513.88,1,Low Performance
12978,385,5,2502.82,1,Low Performance
12979,729,1,517.7,1,Low Performance
12980,158,21,16245.78,0,Average Performance
12981,30,2,372.21999999999997,0,Average Performance
12982,243,8,2744.81,1,Low Performance
12983,598,1,490.08000000000004,1,Low Performance
12984,19,1,97.5,0,Average Performance
12985,1,2,1239.38,2,High Performance
12986,429,10,2729.84,1,Low Performance
12987,74,5,1312.21,0,Average Performance
12988,292,1,505.82,1,Low Performance
12989,3,33,13551.75,2,High Performance
12990,31,7,955.5,0,Average Performance
12991,23,3,764.82,0,Average Performance
12992,725,1,93.35000000000001,1,Low Performance
12993,23,8,1259.6299999999999,0,Average Performance
12994,4,3,974.4200000000001,2,High Performance
12995,85,1,211.32,0,Average Performance
12996,376,1,355.5,1,Low Performance
12997,22,8,2110.91,2,High Performance
12998,493,3,920.08,1,Low Performance
12999,196,3,455.88,1,Low Performance
13000,107,4,1032.5,0,Average Performance
13001,4,33,24042.65,2,High Performance
13002,318,3,414.13,1,Low Performance
13003,106,3,149.05,0,Average Performance
13004,12,36,11650.85,2,High Performance
13005,174,4,999.68,1,Low Performance
13006,56,1,81.57,0,Average Performance
13007,580,1,175.25,1,Low Performance
13008,323,3,612.13,1,Low Performance
13009,673,1,234.0,1,Low Performance
13010,374,2,330.12,1,Low Performance
13011,372,1,50.550000000000004,1,Low Performance
13012,9,11,2957.83,2,High Performance
13013,1,29,11097.43,2,High Performance
13014,11,11,5381.08,2,High Performance
13015,53,11,6579.78,0,Average Performance
13016,73,3,789.89,0,Average Performance
13017,7,1,204.0,0,Average Performance
13018,16,35,9763.16,2,High Performance
13019,379,6,1229.95,1,Low Performance
13020,563,2,618.96,1,Low Performance
13021,4,17,4887.24,2,High Performance
13022,430,1,50.3,1,Low Performance
13023,64,3,1251.03,0,Average Performance
13024,471,2,555.87,1,Low Performance
13025,732,1,323.39,1,Low Performance
13026,1,9,1733.08,2,High Performance
13027,114,19,17239.2,0,Average Performance
13028,23,2,661.3199999999999,0,Average Performance
13029,31,5,1927.3,0,Average Performance
13030,11,2,752.4399999999999,0,Average Performance
13031,407,5,3292.84,1,Low Performance
13032,52,9,2815.96,0,Average Performance
13033,357,2,220.55,1,Low Performance
13034,55,3,756.82,0,Average Performance
13035,74,3,1364.2,0,Average Performance
13036,685,1,307.1,1,Low Performance
13037,138,12,3914.9500000000003,0,Average Performance
13038,80,3,908.46,0,Average Performance
13039,584,4,1010.73,1,Low Performance
13040,9,2,676.99,0,Average Performance
13041,451,4,799.13,1,Low Performance
13042,598,3,1488.59,1,Low Performance
13043,273,1,516.42,1,Low Performance
13044,291,11,4848.05,1,Low Performance
13045,99,3,808.92,0,Average Performance
13046,31,3,949.25,0,Average Performance
13047,57,23,8423.58,2,High Performance
13048,14,9,4049.13,2,High Performance
13049,64,4,1408.24,0,Average Performance
13050,15,34,11877.29,2,High Performance
13051,579,2,155.8,1,Low Performance
13052,212,7,3118.48,1,Low Performance
13053,622,1,127.65,1,Low Performance
13055,78,4,2321.11,0,Average Performance
13056,551,1,209.48,1,Low Performance
13057,530,3,709.59,1,Low Performance
13058,25,3,271.40000000000003,0,Average Performance
13059,250,10,2291.77,1,Low Performance
13060,254,1,307.53,1,Low Performance
13061,72,1,248.61,0,Average Performance
13062,191,1,346.98,1,Low Performance
13063,481,1,188.4,1,Low Performance
13064,13,6,1666.8400000000001,2,High Performance
13065,373,5,1055.05,1,Low Performance
13066,24,2,470.8,0,Average Performance
13067,82,3,508.51,0,Average Performance
